year,regime,scenarioId,configId,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,pctDaysHedged,averageHedgeRatioPct,averageActivationDurationDays,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio
2024,ETF/Bull,E_gradual_deescalation,stress30_crisis40,240,94.121329,97.87497,-15.374203,41,2.141767,-3.681167,3.354974,1,0.416667,0.125,1,1.20276,return sacrificed,0,0.000644,0,0
2025,Mixed,E_gradual_deescalation,stress30_crisis40,252,-11.975027,-12.298607,-27.67166,100,1.782559,-2.795671,2.650082,8,12.698413,3.809524,4,1.880496,return sacrificed,1.857344,0.071692,0,0.987688
2020,Bull market,F_delay_confirmation,stress30_crisis40,254,42.494489,43.958965,-53.540862,212,2.877621,-2.789744,7.009548,1,12.204724,3.661417,31,10.869092,return sacrificed,1.508865,0.167164,0.044925,0.138822
2021,Bull market,F_delay_confirmation,stress30_crisis40,247,-24.236722,-24.841459,-50.179468,194,3.718006,-6.798139,5.77207,4,27.125506,8.825911,16.75,2.544472,return sacrificed,3.60733,0.540359,1.54503,1.417713
2022,Bear market,F_delay_confirmation,stress30_crisis40,240,-56.298843,-57.330967,-58.971289,234,2.518648,-4.165529,4.078009,2,65.416667,19.625,78.5,-9.441514,return improved,8.793067,0.572864,0.888504,
2023,Recovery,F_delay_confirmation,stress30_crisis40,247,108.902444,113.393569,-18.240579,73,2.365767,-2.762413,5.718255,1,0.404858,0.121457,1,0.699954,return sacrificed,0,0.000366,0,0
2024,ETF/Bull,F_delay_confirmation,stress30_crisis40,240,95.324089,99.1365,-15.374203,41,2.142412,-3.681167,3.355019,0,0,0,0,0,return improved,0,0,0,
2025,Mixed,F_delay_confirmation,stress30_crisis40,252,-11.139405,-11.441901,-27.689906,100,1.800542,-2.795671,2.653514,4,9.126984,2.738095,5.75,1.044874,return sacrificed,1.839098,0.053709,0,1.760115
2020,Bull market,G_delay_confirmation_gradual_exit,stress30_crisis40,254,42.494489,43.958965,-53.540862,212,2.877621,-2.789744,7.009548,1,12.204724,3.661417,31,10.869092,return sacrificed,1.508865,0.167164,0.044925,0.138822
2021,Bull market,G_delay_confirmation_gradual_exit,stress30_crisis40,247,-24.236722,-24.841459,-50.179468,194,3.718006,-6.798139,5.77207,4,27.125506,8.825911,16.75,2.544472,return sacrificed,3.60733,0.540359,1.54503,1.417713
2022,Bear market,G_delay_confirmation_gradual_exit,stress30_crisis40,240,-56.298843,-57.330967,-58.971289,234,2.518648,-4.165529,4.078009,2,65.416667,19.625,78.5,-9.441514,return improved,8.793067,0.572864,0.888504,
2023,Recovery,G_delay_confirmation_gradual_exit,stress30_crisis40,247,108.902444,113.393569,-18.240579,73,2.365767,-2.762413,5.718255,1,0.404858,0.121457,1,0.699954,return sacrificed,0,0.000366,0,0
2024,ETF/Bull,G_delay_confirmation_gradual_exit,stress30_crisis40,240,95.324089,99.1365,-15.374203,41,2.142412,-3.681167,3.355019,0,0,0,0,0,return improved,0,0,0,
2025,Mixed,G_delay_confirmation_gradual_exit,stress30_crisis40,252,-11.139405,-11.441901,-27.689906,100,1.800542,-2.795671,2.653514,4,9.126984,2.738095,5.75,1.044874,return sacrificed,1.839098,0.053709,0,1.760115
2020,Bull market,A_immediate,stress25_crisis50,254,49.961495,51.7263,-52.374114,196,2.879279,-2.789744,6.889845,1,12.598425,3.149606,32,3.402087,return sacrificed,2.675613,0.165507,0.044925,0.786462
2021,Bull market,A_immediate,stress25_crisis50,247,-21.409027,-21.953805,-50.203053,194,3.736343,-6.500101,5.803114,7,30.364372,9.311741,10.714286,-0.283223,return improved,3.583744,0.522021,1.843068,
2022,Bear market,A_immediate,stress25_crisis50,240,-57.124514,-58.160187,-59.721689,234,2.594456,-4.181284,4.07777,1,65.833333,16.458333,158,-8.615843,return improved,8.042667,0.497056,0.872749,
2023,Recovery,A_immediate,stress25_crisis50,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,0,return improved,0,0,0,
2024,ETF/Bull,A_immediate,stress25_crisis50,240,94.321789,98.08521,-15.374203,41,2.141822,-3.681167,3.354979,1,0.416667,0.104167,1,1.0023,return sacrificed,0,0.000589,0,0
2025,Mixed,A_immediate,stress25_crisis50,252,-11.656079,-11.971638,-27.750243,100,1.792705,-2.795671,2.701889,8,12.698413,3.174603,4,1.561547,return sacrificed,1.778761,0.061546,0,1.139102
2020,Bull market,B_delay_1_valid_mtm_day,stress25_crisis50,254,46.362211,47.980821,-53.135301,197,2.896618,-2.789744,7.009548,1,12.598425,3.149606,32,7.00137,return sacrificed,1.914427,0.148167,0.044925,0.273436
2021,Bull market,B_delay_1_valid_mtm_day,stress25_crisis50,247,-21.236636,-21.777661,-49.795494,194,3.725659,-6.134754,5.845684,7,29.959514,9.210526,10.571429,-0.455614,return improved,3.991304,0.532705,2.208415,
2022,Bear market,B_delay_1_valid_mtm_day,stress25_crisis50,240,-57.594269,-58.631755,-60.174241,234,2.600358,-4.191535,4.077968,2,65.833333,16.458333,79,-8.146088,return improved,7.590115,0.491154,0.862498,
2023,Recovery,B_delay_1_valid_mtm_day,stress25_crisis50,247,109.019103,113.516178,-18.240579,73,2.365814,-2.762413,5.718557,1,0.404858,0.101215,1,0.583295,return sacrificed,0,0.000318,0,0
2024,ETF/Bull,B_delay_1_valid_mtm_day,stress25_crisis50,240,95.489045,99.309534,-15.374203,41,2.142347,-3.681167,3.355018,1,0.416667,0.104167,1,-0.164956,return improved,0,0.000065,0,
2025,Mixed,B_delay_1_valid_mtm_day,stress25_crisis50,252,-10.217897,-10.496873,-27.778929,100,1.801339,-2.795671,2.701884,8,12.301587,3.075397,3.875,0.123366,return sacrificed,1.750074,0.052912,0,14.186037
2020,Bull market,C_delay_2_valid_mtm_days,stress25_crisis50,254,43.389809,44.889687,-53.7922,212,2.900152,-2.789744,7.009548,1,12.598425,3.149606,32,9.973773,return sacrificed,1.257527,0.144633,0.044925,0.126083
2021,Bull market,C_delay_2_valid_mtm_days,stress25_crisis50,247,-25.803512,-26.440139,-50.772635,194,3.724403,-6.805287,6.167905,6,29.554656,9.210526,12.166667,4.111261,return sacrificed,3.014162,0.533962,1.537882,0.733148
2022,Bear market,C_delay_2_valid_mtm_days,stress25_crisis50,240,-57.932862,-58.971562,-60.541161,234,2.604462,-4.191535,4.077958,2,65.833333,16.458333,79,-7.807496,return improved,7.223196,0.48705,0.862498,
2023,Recovery,C_delay_2_valid_mtm_days,stress25_crisis50,247,108.955953,113.449806,-18.240579,73,2.365823,-2.762413,5.718555,1,0.809717,0.202429,2,0.646445,return sacrificed,0,0.00031,0,0
2024,ETF/Bull,C_delay_2_valid_mtm_days,stress25_crisis50,240,95.115468,98.917669,-15.374203,41,2.142396,-3.681167,3.355015,1,0.416667,0.104167,1,0.208621,return sacrificed,0,0.000015,0,0
2025,Mixed,C_delay_2_valid_mtm_days,stress25_crisis50,252,-11.11068,-11.412447,-27.946066,100,1.796583,-2.795671,2.704789,7,11.904762,2.97619,4.285714,1.016148,return sacrificed,1.582938,0.057668,0,1.557783
