run_name,startDate,endDate,underlying,underlyingPriceSource,optionSettlementPriceSource,entryHourUtc,entryMinuteUtc,maxEntryDelayMinutes,xOtm,strikeStep,strikeRange,tenor,fallbackMode,sizingMode,finalCapital,totalPnL,callWeeks,totalWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,missingObservedInstrumentWeeks,missingObservedCandleWeeks,invalidObservedOpenWeeks,settlementFallbackWeeks,initialBtcPrice,finalBtcPrice,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,annualizedVolatilityOfWeeklyReturnsPct,path,createdAt
btc_2023-01-06_2023-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,06/01/2023,2023-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,28624.3355,11866.51,51,51,37,14,14,14,0,0,0,16783,42343.5,70.81175302,152.2999464,0.311895628,31.18956278,btc_2023-01-06_2023-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T10:00:28.372Z
btc_2024-01-05_2024-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,05/01/2024,2024-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,81558.4295,38872.88825,51,51,36,15,15,15,0,0,0,43847.5,95077,91.0680458,116.8356235,0.350120768,35.01207681,btc_2024-01-05_2024-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T10:03:29.469Z
btc_2025-01-03_2025-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2025,2025-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,96335.0414,1105.220396,51,51,38,13,13,13,0,0,0,96289,88458,1.160582247,-8.132808524,0.373764754,37.37647543,btc_2025-01-03_2025-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T10:05:47.413Z
btc_2026-01-02_2026-05-08T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,02/01/2026,2026-05-08T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.05,1000,3000,weekly,long_btc,dynamic,89296.9197,812.5511817,18,18,12,6,6,6,0,0,0,88798,79684,0.918299125,-10.26374468,0.472927566,47.29275665,btc_2026-01-02_2026-05-08T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T10:06:27.025Z
btc_2020-01-03_2020-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2020,2020-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,16904.14981,9731.731812,51,51,38,13,13,13,0,0,0,7194,23678,135.6827197,229.1353906,0.592730159,59.2730159,btc_2020-01-03_2020-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T11:48:27.425Z
btc_2021-01-01_2021-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,01/01/2021,2021-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,54279.38919,25800.14453,52,52,37,15,15,15,0,0,0,29186.5,47184,90.59279777,61.66378291,0.58514763,58.51476302,btc_2021-01-01_2021-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T11:53:32.997Z
btc_2022-01-07_2022-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,07/01/2022,2022-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,25065.73968,-16204.32632,51,51,36,15,15,15,0,0,0,41708,16467.5,-39.26411535,-60.51716697,0.49892263,49.89226299,btc_2022-01-07_2022-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T11:57:53.591Z
btc_2023-01-06_2023-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,06/01/2023,2023-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,28687.16582,11929.34032,51,51,37,14,14,14,0,0,0,16783,42343.5,71.18668422,152.2999464,0.339907143,33.99071429,btc_2023-01-06_2023-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:01:35.297Z
btc_2024-01-05_2024-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,05/01/2024,2024-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,85783.76781,42835.14156,51,51,36,15,15,15,0,0,0,43847.5,95077,99.73576643,116.8356235,0.391169478,39.11694779,btc_2024-01-05_2024-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:04:30.186Z
btc_2025-01-03_2025-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2025,2025-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,96169.52214,554.5451423,51,51,38,13,13,13,0,0,0,96289,88458,0.579977279,-8.132808524,0.399939727,39.99397267,btc_2025-01-03_2025-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:06:49.426Z
btc_2026-01-02_2026-05-08T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,02/01/2026,2026-05-08T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.07,1000,3000,weekly,long_btc,dynamic,86883.5553,-1798.710828,18,18,12,6,6,6,0,0,0,88798,79684,-2.028264395,-10.26374468,0.481770388,48.17703882,btc_2026-01-02_2026-05-08T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:07:29.849Z
