scope,series,startDate,endDate,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,avgUnderwaterDurationDays,pctTimeUnderwater,volatilityPct,historicalVaRPct,ewmaMeanPct,ewmaMaxPct,ewmaP95Pct,hedgeActivationEvents,hedgeActivationFrequencyPct,pctDaysHedged,averageHedgeRatioPct,returnSacrificedPct,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio,volatilityEfficiencyRatio,varEfficiencyRatio
2020-2025,unhedged,2020-01-04,2025-12-25,1480,51.442572,7.194406,-80.891376,1173,95.866667,97.162162,2.909341,-4.180938,2.63278,7.713906,5.104252,,,,,,,,,,,
2020-2025,hedged_v01,2020-01-04,2025-12-25,1480,90.112791,11.353622,-75.202563,892,59.375,96.283784,2.674064,-3.797859,2.454904,6.810413,4.684024,18,1.216216,20.135135,5.320946,-38.670219,5.688813,0.235278,0.383079,,,
