year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,113.61894631209708,221.28857381150956,0.7694380775356142,25,25,19,6,6,0,-5466.06115955203,13574.41818126276,8108.35702171073,14d
2021,2021-01-01,2021-12-31T08:00:00Z,57.58628211160679,61.66378291333321,0.6860373371132866,26,26,19,7,7,0,-5261.818930319045,21346.520088997484,16084.701158678441,14d
2022,2022-01-07,2022-12-31T08:00:00Z,-20.52913808680491,-59.60966721012755,0.6701565492939474,25,25,18,7,7,0,23062.420508302752,-31363.563487693376,-8301.14297939062,14d
2023,2023-01-06,2023-12-31T08:00:00Z,55.58700183423837,159.8790442709885,0.3420897935841609,23,23,17,6,6,0,-7890.591130119362,17173.11181537038,9282.520685251018,14d
2024,2024-01-05,2024-12-31T08:00:00Z,66.18995293558207,122.75386282000116,0.43731589275146043,25,25,18,7,7,0,-20042.919347639814,47948.18733595215,27905.26798831232,14d
2025,2025-01-03,2025-12-31T08:00:00Z,0.5053830018247885,-8.685311925557437,0.520955106775377,25,25,19,6,6,0,7393.061609995562,-6918.599077334181,474.462532661385,14d
2026,2026-01-02,2026-05-15T08:00:00Z,-2.1329103069293143,-10.263744678934206,0.6825675468035759,9,9,8,1,1,0,6080.5438598686105,-7951.797773883549,-1871.253914014941,14d
TOTAL,2020-01-03,2026-05-15T08:00:00Z,580.4091961872263,895.1545582653586,,158,158,118,40,40,0,-2125.3645894633282,53808.277082671666,51682.91249320833,14d
