year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,135.6827197217249,229.1353906032805,0.5927301590181957,51,51,38,13,13,0,-6322.289249202208,16054.021061412752,9731.731812210546
2021,2021-01-01,2021-12-31T08:00:00Z,90.59279777252823,61.66378291333321,0.585147630195453,52,52,37,15,15,0,6052.284159519399,19747.860366667082,25800.144526186494
2022,2022-01-07,2022-12-31T08:00:00Z,-39.26411534693759,-60.5171669703654,0.49892262993075476,51,51,36,15,15,0,13119.41841171136,-29323.744729708644,-16204.326317997287
2023,2023-01-06,2023-12-31T08:00:00Z,71.18668421863059,152.29994637430732,0.33990714292348456,51,51,37,14,14,0,-8598.726990640893,20528.067311235038,11929.340320594149
2024,2024-01-05,2024-12-31T08:00:00Z,99.73576642561399,116.83562346770056,0.39116947794898216,51,51,36,15,15,0,-7193.220439900654,50028.36199961062,42835.141559709926
2025,2025-01-03,2025-12-31T08:00:00Z,0.5799772794411018,-8.132808524338186,0.3999397267383785,51,51,38,13,13,0,8991.665202997887,-8437.120060655045,554.5451423428437
2026,2026-01-02,2026-05-08T08:00:00Z,-2.028264394854029,-10.263744678934206,0.4817703882211629,18,18,12,6,6,0,6551.51521404139,-8350.226042380182,-1798.7108283387915
TOTAL,2020-01-03,2026-05-08T08:00:00Z,819.2163561707708,847.4838156005306,,325,325,234,91,91,0,12600.64630852628,60247.219906181635,72847.86621470787
