year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,126.59171426221766,221.28857381150956,0.7913025825728754,25,25,19,6,6,0,-4607.758183943098,13641.910044574846,9034.151860631751,14d
2021,2021-01-01,2021-12-31T08:00:00Z,51.21264344576624,61.66378291333321,0.7224649186570236,26,26,19,7,7,0,-6264.0394632042,20568.488980792914,14304.449517588726,14d
2022,2022-01-07,2022-12-31T08:00:00Z,-26.597470409417788,-59.60966721012755,0.6702922874807504,25,25,18,7,7,0,19600.709660714678,-30438.83734103238,-10838.127680317704,14d
2023,2023-01-06,2023-12-31T08:00:00Z,86.91111564266892,159.8790442709885,0.3805067894601396,25,25,18,7,7,0,-8062.526046065073,22575.887121682663,14513.361075617584,14d
2024,2024-01-05,2024-12-31T08:00:00Z,82.84024619900639,122.75386282000116,0.4797604896508511,23,23,16,7,7,0,-22213.55390784028,57374.58279748207,35161.0288896418,14d
2025,2025-01-03,2025-12-31T08:00:00Z,0.3333877851352529,-8.685311925557437,0.5529959577548997,25,25,19,6,6,0,8026.36431975854,-7711.447854853786,314.9164649047516,14d
2026,2026-01-02,2026-05-15T08:00:00Z,-2.9909378805653364,-10.263744678934206,0.7054127463706344,9,9,8,1,1,0,5705.992823952355,-8335.326912944929,-2629.334088992573,14d
TOTAL,2020-01-03,2026-05-15T08:00:00Z,736.5807498981352,895.1545582653586,,158,158,117,41,41,0,-7814.810796627079,67675.2568357014,59860.44603907433,14d
