year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,34.37282418093892,221.28857381150956,0.6432541249241585,25,25,19,6,6,1,-7335.600417979485,9663.723702718991,2328.123284739506,14d
2021,2021-01-01,2021-12-31T08:00:00Z,69.08832298438297,61.66378291333321,0.5674987131941077,26,26,19,7,7,0,-3460.0302468086356,22293.639051048318,18833.608804239673,14d
2022,2022-01-07,2022-12-31T08:00:00Z,2.8665139219357316,-59.60966721012755,0.5908956240601361,25,25,18,7,7,0,35017.63322553168,-33880.650314672224,1136.9829108594533,14d
2023,2023-01-06,2023-12-31T08:00:00Z,60.375165003719644,159.8790442709885,0.23663418940293252,25,25,18,7,7,0,-11288.685938161283,21228.92736582664,9940.241427665356,14d
2024,2024-01-05,2024-12-31T08:00:00Z,47.651192271903334,122.75386282000116,0.31337674434810114,25,25,18,7,7,0,-24715.21772679913,44407.67750766514,19692.459780866026,14d
2025,2025-01-03,2025-12-31T08:00:00Z,-6.848775321647327,-8.685311925557437,0.3925590592340779,25,25,19,6,6,1,-2571.181477439213,-3667.3264594709126,-6238.507936910126,14d
2026,2026-01-02,2026-05-15T08:00:00Z,-8.002511317534932,-10.263744678934206,0.5585512372164322,9,9,8,1,1,0,298.43220273849965,-7184.214032491085,-6885.781829752589,14d
TOTAL,2020-01-03,2026-05-15T08:00:00Z,374.2831544999247,895.1545582653586,,160,160,119,41,41,2,-14054.650378917566,52861.776820624866,38807.1264417073,14d
