year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,269.57122952075247,376.54609101516917,0.6265175580521711,51,51,38,13,13,0,51,51,38,13,13,0,-112.34872483543182,457.49640512216337,345.1476802867316
2021,2021-01-01,2021-12-31T08:00:00Z,332.15229865646324,403.27968623208005,0.6177581355034422,52,52,37,15,15,0,52,52,37,15,15,0,-78.33264730092816,2412.563046388248,2334.2303990873206
2022,2022-01-07,2022-12-31T08:00:00Z,-37.84164734423398,-62.9310883418718,0.6190365083141476,51,51,36,15,15,0,51,51,36,15,15,0,902.3091385331984,-2079.7771225028746,-1177.4679839696764
2023,2023-01-06,2023-12-31T08:00:00Z,38.88146595595974,86.96906555537747,0.27857324495543817,51,51,37,14,14,0,51,51,37,14,14,0,-501.9828621883117,983.0219094630903,481.0390472747782
2024,2024-01-05,2024-12-31T08:00:00Z,24.9445909746693,47.20762664893028,0.3919800779811411,51,51,36,15,15,0,51,51,36,15,15,0,-561.1322415358363,1104.8492727455325,543.7170312096958
2025,2025-01-03,2025-12-31T08:00:00Z,2.5779933786569176,-13.818234822534803,0.4804661258055242,51,51,38,13,13,0,51,51,38,13,13,0,338.65890799057746,-252.04013828556037,86.61876970501699
2026,2026-01-02,2026-06-15T08:00:00Z,-21.290202165451,-44.9666655610468,0.5827573555581238,23,23,16,7,7,0,23,23,16,7,7,0,872.2800973289486,-1505.642699851626,-633.3626025226771
TOTAL,2020-01-03,2026-06-15T08:00:00Z,1290.8465772153934,1060.5542035930457,,330,330,238,92,92,0,330,330,238,92,92,0,859.4516679922165,1120.4706730789728,1979.9223410711893
