year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,123.40250224510191,376.54609101516917,0.5742108283833002,51,51,38,13,13,0,51,51,38,13,13,0,-189.86643694646511,347.8658179159991,157.99938096953414
2021,2021-01-01,2021-12-31T08:00:00Z,239.48791058993154,403.27968623208005,0.5688145874833858,52,52,37,15,15,0,52,52,37,15,15,0,-620.9695315725373,2303.9925405179165,1683.023008945378
2022,2022-01-07,2022-12-31T08:00:00Z,-22.965512826553447,-62.9310883418718,0.5622513021508598,51,51,36,15,15,0,51,51,36,15,15,0,1447.38834283798,-2151.315529585957,-703.927186747977
2023,2023-01-06,2023-12-31T08:00:00Z,35.900266757257484,86.96906555537747,0.2157965684377932,51,51,37,14,14,0,51,51,37,14,14,0,-541.130256556312,978.7906239956388,437.66036743932665
2024,2024-01-05,2024-12-31T08:00:00Z,25.942861057535183,47.20762664893028,0.32503294641360886,51,51,36,15,15,0,51,51,36,15,15,0,-571.9869076258478,1131.3199211699073,559.3330135440596
2025,2025-01-03,2025-12-31T08:00:00Z,4.630243441654458,-13.818234822534803,0.426617607572199,51,51,38,13,13,0,51,51,38,13,13,0,390.04067940402797,-236.29427936771245,153.74640003631515
2026,2026-01-02,2026-06-15T08:00:00Z,-18.153435816925278,-44.9666655610468,0.540771710485262,23,23,16,7,7,0,23,23,16,7,7,0,940.6885130798325,-1473.208763648635,-532.5202505688026
TOTAL,2020-01-03,2026-06-15T08:00:00Z,756.345648609865,1060.5542035930457,,330,330,238,92,92,0,330,330,238,92,92,0,854.1644026206782,901.150330997157,1755.314733617834
