configId,state,year,regime,startDate,endDate,durationDays,maxDamageState,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-01-03,2020-01-18,16,normal,-2.475552,,2.030439,-1.461171
v03a_drawdown_crisis_plus_var_stress,watch,2020,Bull market,2020-01-19,2020-01-19,1,normal,-2.015023,,2.006395,-2.015023
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-01-20,2020-01-22,3,normal,-1.100432,,1.958662,0.002391
v03a_drawdown_crisis_plus_var_stress,stress,2020,Bull market,2020-01-23,2020-01-25,3,normal,-4.830554,,1.949731,-3.197762
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-01-26,2020-02-15,21,normal,-3.214405,1.766509,1.958099,-0.674914
v03a_drawdown_crisis_plus_var_stress,watch,2020,Bull market,2020-02-16,2020-02-16,1,normal,-2.702761,1.766509,1.717897,-2.702761
v03a_drawdown_crisis_plus_var_stress,stress,2020,Bull market,2020-02-17,2020-02-23,7,normal,-6.13949,3.021998,2.327292,-5.280805
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-02-24,2020-02-24,1,normal,-5.490693,3.021998,2.146226,-1.466067
v03a_drawdown_crisis_plus_var_stress,stress,2020,Bull market,2020-02-25,2020-03-11,16,watch,-22.927546,5.128626,3.319069,-9.464141
v03a_drawdown_crisis_plus_var_stress,crisis,2020,Bull market,2020-03-12,2020-03-13,2,stress,-47.580424,7.58164,7.009549,-24.329604
v03a_drawdown_crisis_plus_var_stress,stress,2020,Bull market,2020-03-14,2020-08-06,146,stress,-54.036507,9.999168,6.962085,-9.705874
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-08-07,2020-08-20,14,normal,-1.632915,2.100538,1.46398,-1.02585
v03a_drawdown_crisis_plus_var_stress,watch,2020,Bull market,2020-08-21,2020-08-21,1,normal,-2.331595,1.081858,1.198044,-2.014877
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-08-22,2020-08-24,3,normal,-2.743667,1.308474,1.16403,-0.31028
v03a_drawdown_crisis_plus_var_stress,stress,2020,Bull market,2020-08-25,2020-09-04,11,normal,-12.849578,1.569815,1.221279,-2.173168
v03a_drawdown_crisis_plus_var_stress,normal,2020,Bull market,2020-09-05,2020-09-07,3,normal,-15.064681,1.569815,1.121763,-1.152535
v03a_drawdown_crisis_plus_var_stress,watch,2020,Bull market,2020-09-08,2020-09-14,7,watch,-15.849957,2.101937,1.578244,-2.747254
