year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,256.5142052686186,376.54609101516917,0.657988965274453,51,51,38,13,13,1,51,51,38,13,13,1,-93.48486055836901,421.91487538768723,328.43001482931817
2021,2021-01-01,2021-12-31T08:00:00Z,335.83187219360565,403.27968623208005,0.6805947478472605,52,52,37,15,15,0,52,52,37,15,15,0,86.99398807758335,2330.950581498652,2417.9445695762347
2022,2022-01-07,2022-12-31T08:00:00Z,-46.28609744583984,-62.9310883418718,0.679765849763859,51,51,36,15,15,0,51,51,36,15,15,0,659.1648071276427,-2112.722858086578,-1453.5580509589358
2023,2023-01-06,2023-12-31T08:00:00Z,60.53952399847087,86.96906555537747,0.3621851502353838,51,51,37,14,14,0,51,51,37,14,14,0,-276.10540414678536,1029.6290541485725,753.5236500017872
2024,2024-01-05,2024-12-31T08:00:00Z,34.729696196195235,47.20762664893028,0.47564723231623496,51,51,36,15,15,0,51,51,36,15,15,0,-326.82648966478797,1095.1863751336532,768.3598854688652
2025,2025-01-03,2025-12-31T08:00:00Z,-9.204045884423028,-13.818234822534803,0.5468137273510297,51,51,38,13,13,0,51,51,38,13,13,0,-4.381083363765622,-307.55203917924894,-311.93312254301554
2026,2026-01-02,2026-06-15T08:00:00Z,-31.56200814335196,-44.9666655610468,0.6096683599665866,23,23,16,7,7,0,23,23,16,7,7,0,522.104069647517,-1470.4041134290187,-948.3000437815018
TOTAL,2020-01-03,2026-06-15T08:00:00Z,1021.738403865147,1060.5542035930457,,330,330,238,92,92,1,330,330,238,92,92,1,567.4650271190351,987.0018754737189,1554.4669025927524
