year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,26.786538365889466,229.1353906032805,0.4264936033230741,51,51,38,13,13,1,-8041.352669027808,9884.550713773062,1843.1980447452556
2021,2021-01-01,2021-12-31T08:00:00Z,110.86681942227297,61.66378291333321,0.3631524336201293,52,52,37,15,15,0,6349.854627661606,23748.076625333073,30097.93125299467
2022,2022-01-07,2022-12-31T08:00:00Z,10.702934862485725,-60.5171669703654,0.33239142117482307,51,51,36,15,15,1,38725.791623680205,-34540.81030576252,4184.981317917698
2023,2023-01-06,2023-12-31T08:00:00Z,22.05373106631965,152.29994637430732,0.12594040893328964,51,51,37,14,14,0,-13969.429457892265,17478.240703139956,3508.811245247691
2024,2024-01-05,2024-12-31T08:00:00Z,39.48341935103716,116.83562346770056,0.08824314044071557,51,51,36,15,15,0,-26238.034899104932,42338.652738054734,16100.617838949813
2025,2025-01-03,2025-12-31T08:00:00Z,-8.267618268213218,-8.132808524338186,0.18679593465719532,51,51,38,13,13,0,-6640.717416511713,-699.1465953342863,-7339.864011845998
2026,2026-01-02,2026-05-08T08:00:00Z,1.7777618575012921,-10.263744678934206,0.31584944397380355,18,18,12,6,6,0,8176.916406314929,-6687.078707720573,1489.8376985943576
TOTAL,2020-01-03,2026-05-08T08:00:00Z,370.42428969834197,847.4838156005306,,325,325,234,91,91,2,-1636.971784879981,51522.485171483444,49885.51338660349
