year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,86.41524692902394,230.51367950865438,0.6846125596791761,12,12,12,0,0,0,12,12,12,0,0,0,-7607.348431457296,13609.317678607717,6001.969247150419,monthly
2021,2021-01-01,2021-12-31T08:00:00Z,75.00728358301988,99.27358729622435,0.97715073721081,12,12,12,0,0,0,12,12,12,0,0,0,-5436.873092690714,21785.159843238558,16348.286750547846,monthly
2022,2022-01-07,2022-12-31T08:00:00Z,-45.62381208065288,-65.09939810105121,0.9523938960825797,12,12,12,0,0,0,12,12,12,0,0,0,13452.164364720444,-33698.43905707365,-20246.274692353203,monthly
2023,2023-01-06,2023-12-31T08:00:00Z,80.63062968552563,157.13374829209047,0.5423786416445907,12,12,12,0,0,0,12,12,12,0,0,0,-8483.689814705709,21549.093175074224,13065.403360368513,monthly
2024,2024-01-05,2024-12-31T08:00:00Z,67.76433274265865,124.53741424303612,0.48459041011458587,12,12,12,0,0,0,12,12,12,0,0,0,-20600.372351093774,47830.77928400217,27230.4069329084,monthly
2025,2025-01-03,2025-12-31T08:00:00Z,15.39608201217737,-6.961725759121551,0.7592984923624252,12,12,12,0,0,0,12,12,12,0,0,0,21423.65500190276,-7517.428751920768,13906.226249981994,monthly
2026,2026-01-02,2026-05-17T08:00:00Z,-8.941161377971852,-12.169617219471384,0.7932357731233961,4,4,4,0,0,0,4,4,4,0,0,0,2545.1865213556976,-10264.538912320619,-7719.352390964918,monthly
TOTAL,2020-01-03,2026-05-17T08:00:00Z,464.8726043818534,984.4919039642656,,76,76,76,0,0,0,76,76,76,0,0,0,-4707.277801968592,53293.94325960763,48586.66545763905,monthly
