year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2020,uniform,optimistic,0.05,0.0718,0.05,135.68,131,-4.68,9731.73,9396.16,335.58,16568.57,-6657.87,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-6322.29
2020,uniform,realistic,0.1,0.0718,0.1,135.68,126.33,-9.36,9731.73,9060.58,671.15,16233,-6993.44,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-6322.29
2020,uniform,conservative,0.2,0.0718,0.2,135.68,116.97,-18.71,9731.73,8389.43,1342.31,15561.84,-7664.6,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-6322.29
2021,uniform,optimistic,0.05,0.07,0.05,90.59,81.82,-8.78,25800.14,23300.71,2499.43,51779.96,3552.85,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6052.28
2021,uniform,realistic,0.1,0.07,0.1,90.59,73.04,-17.55,25800.14,20801.28,4998.86,49280.53,1053.42,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6052.28
2021,uniform,conservative,0.2,0.07,0.2,90.59,55.49,-35.11,25800.14,15802.42,9997.73,44281.66,-3945.44,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6052.28
2022,uniform,optimistic,0.05,0.0697,0.05,-39.26,-41.52,-2.25,-16204.33,-17134.56,930.23,24135.51,12189.19,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,13119.42
2022,uniform,realistic,0.1,0.0697,0.1,-39.26,-43.77,-4.51,-16204.33,-18064.79,1860.46,23205.28,11258.96,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,13119.42
2022,uniform,conservative,0.2,0.0697,0.2,-39.26,-48.28,-9.02,-16204.33,-19925.24,3720.92,21344.82,9398.5,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,13119.42
2023,uniform,optimistic,0.05,0.0684,0.05,71.19,69.26,-1.93,11929.34,11606.66,322.68,28364.48,-8921.41,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8598.73
2023,uniform,realistic,0.1,0.0684,0.1,71.19,67.34,-3.85,11929.34,11283.97,645.37,28041.8,-9244.09,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8598.73
2023,uniform,conservative,0.2,0.0684,0.2,71.19,63.48,-7.7,11929.34,10638.61,1290.73,27396.43,-9889.46,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8598.73
2024,uniform,optimistic,0.05,0.0707,0.05,99.74,96.91,-2.83,42835.14,41620.39,1214.75,84569.02,-8407.97,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-7193.22
2024,uniform,realistic,0.1,0.0707,0.1,99.74,94.08,-5.66,42835.14,40405.64,2429.5,83354.27,-9622.72,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-7193.22
2024,uniform,conservative,0.2,0.0707,0.2,99.74,88.42,-11.31,42835.14,37976.15,4858.99,80924.77,-12052.22,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-7193.22
2025,uniform,optimistic,0.05,0.0688,0.05,0.58,-0.67,-1.25,554.55,-638.29,1192.84,94976.68,7798.83,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8991.67
2025,uniform,realistic,0.1,0.0688,0.1,0.58,-1.92,-2.5,554.55,-1831.14,2385.68,93783.84,6605.98,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8991.67
2025,uniform,conservative,0.2,0.0688,0.2,0.58,-4.41,-4.99,554.55,-4216.82,4771.36,91398.16,4220.3,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8991.67
2026,uniform,optimistic,0.05,0.0689,0.05,-2.03,-2.4,-0.37,-1798.71,-2126.29,327.58,86555.98,6223.94,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6551.52
2026,uniform,realistic,0.1,0.0689,0.1,-2.03,-2.77,-0.74,-1798.71,-2453.86,655.15,86228.4,5896.36,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6551.52
2026,uniform,conservative,0.2,0.0689,0.2,-2.03,-3.51,-1.48,-1798.71,-3109.01,1310.3,85573.25,5241.21,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm07_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6551.52
TOTAL,uniform,optimistic,0.05,0.0698,0.05,819.22,693.68,-125.54,72847.87,66024.78,6823.09,,5777.56,325,TOTAL,12600.65
TOTAL,uniform,realistic,0.1,0.0698,0.1,819.22,582.05,-237.17,72847.87,59201.7,13646.17,,-1045.52,325,TOTAL,12600.65
TOTAL,uniform,conservative,0.2,0.0698,0.2,819.22,395.76,-423.46,72847.87,45555.52,27292.34,,-14691.7,325,TOTAL,12600.65
