year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,85.08010740965415,402.64488525865414,0.7640283159289313,25,25,19,6,6,0,25,25,19,6,6,0,-191.21827086527702,299.60441463771144,108.38614377243444,14d
2021,2021-01-01,2021-12-31T08:00:00Z,157.49551659904043,403.27968623208005,0.49724843497019555,26,26,19,7,7,0,26,26,19,7,7,0,-999.6894670280956,2027.3799994177361,1027.6905323896412,14d
2022,2022-01-07,2022-12-31T08:00:00Z,-10.107316409643275,-61.822129201549416,0.7016905662730006,25,25,18,7,7,0,25,25,18,7,7,0,2108.1535791975543,-2413.104555860987,-304.95097666343315,14d
2023,2023-01-06,2023-12-31T08:00:00Z,47.68078551567185,82.27280012822568,0.24515390429157372,25,25,18,7,7,0,25,25,18,7,7,0,-385.22026317795167,960.2499166467425,575.0296534687909,14d
2024,2024-01-05,2024-12-31T08:00:00Z,8.162490696575997,50.069837046890584,0.40567315435218804,25,25,18,7,7,0,25,25,18,7,7,0,-1015.7818276427183,1188.8213247911765,173.03949714845828,14d
2025,2025-01-03,2025-12-31T08:00:00Z,-11.928891706352662,-13.991691567669996,0.5427365617167921,25,25,19,6,6,0,25,25,19,6,6,0,-388.4179119008551,0.09583533930836552,-388.32207656154685,14d
2026,2026-01-02,2026-06-16T08:00:00Z,-29.22702383810616,-44.35470496533882,0.8080860348357977,11,11,9,2,2,0,11,11,9,2,2,0,483.6755042963191,-1323.8668483025608,-840.1913440062417,14d
TOTAL,2020-01-03,2026-06-16T08:00:00Z,326.5356681449518,1164.3476480325794,,162,162,120,42,42,0,162,162,120,42,42,0,-388.49865712102417,739.1800866691274,350.6814295481031,14d
