asset,regime,regime_label,regime_start,regime_end,tenor,moneyness_label,model,lambda,riskBudgetPct,strategy_label,source_batch_name,comparison_scope,cycleCount,returnPct,volatilityPct,drawdownPct,ulcerIndex,hitRatePct,averageCycleReturnPct,averageHedgeRatio,medianHedgeRatio,maxHedgeRatio,pctCyclesHedged
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,weekly_otm10_ewma094_var10,batch_years_otm10_2020_2026,full_period,103,156.994534,6.302243,-46.933694,11.405949,67.961165,1.15122,0.411486,0.438639,0.627107,88.349515
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,weekly_otm10_ewma094_var10,batch_years_otm10_2020_2026,full_period,51,-34.318654,5.528119,-41.978989,28.65279,45.098039,-0.659214,0.265591,0.275164,0.417386,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,weekly_otm10_ewma094_var10,batch_years_otm10_2020_2026,full_period,51,84.973547,4.420049,-13.642207,6.197598,64.705882,1.308104,0.194191,0.165974,0.418379,98.039216
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,weekly_otm10_ewma094_var10,batch_years_otm10_2020_2026,full_period,102,91.30975,5.525706,-29.759533,10.505888,58.823529,0.792229,0.093004,0.081009,0.282122,78.431373
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,weekly_otm10_ewma094_var15,batch_years_otm10_2020_2026,full_period,103,321.818308,7.551136,-46.933694,12.344646,68.932039,1.725815,0.177659,0.157959,0.44066,83.495146
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,weekly_otm10_ewma094_var15,batch_years_otm10_2020_2026,full_period,51,-46.872189,7.212222,-53.644261,37.191917,45.098039,-0.954664,0.013019,0,0.126079,23.529412
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,weekly_otm10_ewma094_var15,batch_years_otm10_2020_2026,full_period,51,101.850127,5.519772,-17.248798,8.438558,64.705882,1.53467,0.011527,0,0.127569,17.647059
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,weekly_otm10_ewma094_var15,batch_years_otm10_2020_2026,full_period,102,116.051061,6.011685,-29.759533,10.738939,58.823529,0.939377,0,0,0,0
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,14d_otm10_ewma09_var5,batch_years_btc_14d_otm10_2020_2026,full_period,51,-15.143861,8.990274,-46.721931,31.194704,62.745098,0.131926,0.629962,0.812958,0.864776,76.470588
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,14d_otm10_ewma09_var5,batch_years_btc_14d_otm10_2020_2026,full_period,23,18.362826,2.503102,-7.449806,2.5897,73.913043,0.76594,0.706066,0.722062,0.779739,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,14d_otm10_ewma09_var5,batch_years_btc_14d_otm10_2020_2026,full_period,25,7.470455,2.449939,-7.54691,2.82234,64,0.317946,0.672252,0.691715,0.72174,100
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,5,14d_otm10_ewma09_var5,batch_years_btc_14d_otm10_2020_2026,full_period,50,13.455482,2.819499,-10.842425,4.64328,58,0.292645,0.697195,0.69866,0.776299,100
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,14d_otm10_ewma09_var10,batch_years_btc_14d_otm10_2020_2026,full_period,51,24.710905,8.269158,-45.877646,15.527731,66.666667,0.820298,0.495217,0.625916,0.729551,76.470588
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,14d_otm10_ewma09_var10,batch_years_btc_14d_otm10_2020_2026,full_period,23,-1.023596,4.716986,-17.581046,10.557279,65.217391,0.065692,0.412132,0.444123,0.559477,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,14d_otm10_ewma09_var10,batch_years_btc_14d_otm10_2020_2026,full_period,25,54.614829,3.716587,-7.89324,3.464835,72,1.824054,0.344504,0.38343,0.44348,100
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,10,14d_otm10_ewma09_var10,batch_years_btc_14d_otm10_2020_2026,full_period,50,42.764872,4.739434,-20.887432,7.099571,60,0.826643,0.394391,0.39732,0.552598,100
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,14d_otm10_ewma09_var15,batch_years_btc_14d_otm10_2020_2026,full_period,51,76.787391,8.238182,-45.877646,11.591106,74.509804,1.508669,0.360473,0.438874,0.594327,76.470588
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,14d_otm10_ewma09_var15,batch_years_btc_14d_otm10_2020_2026,full_period,23,-16.653457,6.75333,-32.592484,20.242688,43.478261,-0.556609,0.138721,0.166185,0.339216,73.913043
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,14d_otm10_ewma09_var15,batch_years_btc_14d_otm10_2020_2026,full_period,25,94.135522,5.818739,-11.358381,5.45424,68,2.849023,0.070257,0.075145,0.16522,68
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.9,15,14d_otm10_ewma09_var15,batch_years_btc_14d_otm10_2020_2026,full_period,50,76.90458,7.306199,-28.452703,10.432291,62,1.414558,0.106304,0.09598,0.328896,84
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,14d_otm10_ewma094_var5,batch_years_btc_14d_otm10_2020_2026,full_period,51,-16.931563,9.019647,-47.695597,32.075365,60.784314,0.092989,0.634638,0.822911,0.853147,76.470588
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,14d_otm10_ewma094_var5,batch_years_btc_14d_otm10_2020_2026,full_period,23,22.212664,2.101765,-5.653286,1.792074,73.913043,0.897177,0.753911,0.760767,0.80215,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,14d_otm10_ewma094_var5,batch_years_btc_14d_otm10_2020_2026,full_period,25,2.574325,2.818579,-9.56266,3.796559,68,0.141149,0.698781,0.704489,0.732514,100
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,5,14d_otm10_ewma094_var5,batch_years_btc_14d_otm10_2020_2026,full_period,50,14.259884,2.759053,-10.816272,4.47973,58,0.305119,0.702285,0.701092,0.753311,100
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,14d_otm10_ewma094_var10,batch_years_btc_14d_otm10_2020_2026,full_period,51,19.790227,8.288345,-45.877646,17.115327,64.705882,0.742423,0.504571,0.645823,0.706294,76.470588
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,14d_otm10_ewma094_var10,batch_years_btc_14d_otm10_2020_2026,full_period,23,5.997197,3.900563,-13.845797,6.821207,65.217391,0.328167,0.507823,0.521535,0.604299,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,14d_otm10_ewma094_var10,batch_years_btc_14d_otm10_2020_2026,full_period,25,42.188348,3.320123,-6.840684,3.069666,72,1.470461,0.397562,0.408978,0.465027,100
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,10,14d_otm10_ewma094_var10,batch_years_btc_14d_otm10_2020_2026,full_period,50,45.128208,4.568905,-19.153394,6.670677,60,0.851591,0.404571,0.402184,0.506622,100
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,14d_otm10_ewma094_var15,batch_years_btc_14d_otm10_2020_2026,full_period,51,66.968396,8.199615,-45.877646,11.645406,68.627451,1.391857,0.374504,0.468734,0.559441,76.470588
BTC,Bear,bear_2022,2022-01-01,2022-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,14d_otm10_ewma094_var15,batch_years_btc_14d_otm10_2020_2026,full_period,23,-8.906828,5.719317,-25.065275,15.218067,52.173913,-0.240844,0.261734,0.282302,0.406449,100
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,14d_otm10_ewma094_var15,batch_years_btc_14d_otm10_2020_2026,full_period,25,88.1145,5.504368,-10.887694,5.145962,72,2.703028,0.103514,0.113467,0.197541,88
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,ewma_var_cyclical_hedge_phase1b,0.94,15,14d_otm10_ewma094_var15,batch_years_btc_14d_otm10_2020_2026,full_period,50,76.654679,7.228672,-28.452703,10.256087,62,1.406135,0.108527,0.103275,0.259933,90
