asset,regime,regime_label,regime_start,regime_end,tenor,moneyness_label,xOtm,source_batch_name,comparison_scope,cycleCount,returnPct,volatilityPct,drawdownPct,hitRatePct,averageCycleReturnPct,warnings
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm03,0.03,batch_years_otm03_2020_2026,full_period,103,337.332736,7.210598,-41.168513,71.84466,1.736215,
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm05,0.05,batch_years_otm05_2020_2026,full_period,103,427.067972,7.847098,-45.726071,68.932039,1.974831,
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm07,0.07,batch_years_otm07_2020_2026,full_period,103,349.194289,8.130677,-45.726071,67.961165,1.839694,
BTC,Bull,bull_2020_2021,2020-01-01,2021-12-31T23:59:59Z,weekly,otm10,0.1,batch_years_otm10_2020_2026,full_period,103,450.655861,8.826374,-46.933694,66.019417,2.096187,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,full_period,50,37.538894,4.958777,-22.803965,66,0.766116,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,full_period,50,56.370044,6.05022,-25.61919,66,1.085493,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,full_period,50,67.029849,6.674407,-26.186164,62,1.258053,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm05,0.05,batch_years_btc_14d_otm05_2026_2026,partial_period,0,,,,,,partial_period_excluded_from_primary_rankings; no_cycles_in_regime
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,full_period,48,83.449813,7.240815,-27.109969,64.583333,1.53792,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,full_period,50,94.895523,8.051886,-28.452703,62,1.667434,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,full_period,24,67.428997,6.347712,-17.968538,79.166667,2.376608,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,full_period,24,73.59621,7.369681,-19.368538,70.833333,2.599955,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,full_period,24,81.805262,8.179657,-20.368538,70.833333,2.859042,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,full_period,24,86.206614,8.864677,-20.918538,66.666667,3.017484,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,monthly,otm10,0.1,batch_years_btc_monthly_otm10_2020_2026,full_period,24,93.387245,9.761382,-21.668538,66.666667,3.258024,
