date,snapshot_time_utc,instrument_name,cycle,entry_date,exit_date,expiry,strike,snapshot_found,mark_price_found,mark_price,mark_iv_found,mark_iv,delta_found,delta,gamma_found,gamma,theta_found,theta,vega_found,vega,underlying_price_found,underlying_price,option_trade_candle_found,option_trade_close,recent_trade_found,recent_trade_count,api_timestamp,api_timestamp_iso,timestamp_diff_ms,missing_fields,notes
2025-01-03,08:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,96083.5,true,0.0028,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-03,14:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,96995.5,true,0.0036,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-03,16:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,97801,true,0.004,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-04,08:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,97923.5,true,0.0031,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-04,14:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,98049.5,true,0.0026,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-04,16:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,97735.5,true,0.0026,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-05,08:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,97856,true,0.0028,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-05,14:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,97867,true,0.0028,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-05,16:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,98027,true,0.0028,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-06,08:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,99050,true,0.004,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-06,14:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,100783.5,true,0.006,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-06,16:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,102232.5,true,0.0075,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-07,08:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,101954,true,0.0044,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-01-07,14:00,BTC-10JAN25-106000-C,1,2025-01-03T08:00:00.000Z,2025-01-10T08:00:00.000Z,10JAN25,106000,false,false,,false,,false,,false,,false,,false,,true,100070.5,true,0.0016,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
