row_type,asset,tenor,moneyness_label,regime_label,comparison_scope,cycleCount,meanCycleReturnPct,medianCycleReturnPct,stdDevCycleReturnPct,interquartileRangePct,p01EstimatedCycleReturnPct,p05CycleReturnPct,p25CycleReturnPct,p75CycleReturnPct,p95CycleReturnPct,p99EstimatedCycleReturnPct,skewness,excessKurtosis,severeLossFrequencyPct,extremeUpsideFrequencyPct,tailAsymmetryPct,leftTailConcentrationPct,rightTailConcentrationPct,dispersionRatio,averageRegimeReturnPct,averageRegimeVolatilityPct,averageRegimeDrawdownPct,averageRegimeHitRatePct,notes
moneyness_summary,BTC,,atm00,,full_period,187,1.425585,3.502318,6.69423,4.841642,-22.419173,-12.3082,0.006407,4.848048,8.374331,10.972867,-2.331243,8.615086,4.651822,5.164642,0.51282,47.942392,6.915762,1.39236,,,,,Average across tenors where this moneyness exists.
moneyness_summary,BTC,,otm03,,full_period,187,1.6083,4.229032,7.59152,8.03028,-24.019396,-13.400393,-1.684049,6.346231,9.303485,13.250083,-1.809307,5.117482,4.85695,5.164642,0.307692,43.94357,19.38765,0.956863,,,,,Average across tenors where this moneyness exists.
moneyness_summary,BTC,,otm05,,full_period,186.33,1.784279,4.314935,8.245562,9.273615,-24.833937,-13.770787,-2.029682,7.243933,11.004184,14.176417,-1.503895,3.966084,4.878047,5.185739,0.307692,41.726371,42.623119,0.890154,,,,,Average across tenors where this moneyness exists.
moneyness_summary,BTC,,otm07,,full_period,186.33,1.860414,3.986493,8.666245,10.377599,-25.743626,-14.164655,-2.379696,7.997902,11.936084,14.682166,-1.341795,3.170093,5.083175,5.185739,0.102564,41.450215,11.935529,0.836939,,,,,Average across tenors where this moneyness exists.
moneyness_summary,BTC,,otm10,,full_period,186.33,2.064034,3.535244,9.36,12.274131,-24.661568,-15.176638,-3.273175,9.000956,13.698046,17.747737,-1.032373,2.213377,5.185739,5.185739,0,39.465993,17.032383,0.779072,,,,,Average across tenors where this moneyness exists.
moneyness_summary,BTC,,itm05,,full_period,325,0.568134,0.919659,3.959565,1.386227,-16.383545,-4.882066,0.403954,1.790181,4.19189,8.206673,-4.687956,37.596442,2.461538,5.230769,2.769231,56.288695,66.293046,2.856361,,,,,Average across tenors where this moneyness exists.
regime_summary,BTC,14d,,bear_2022,full_period,24.6,-0.329746,,,,,,,,,,,,,,,,,,-15.866734,8.672387,-41.39686,57.495652,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,monthly,,bear_2022,full_period,12,-1.646591,,,,,,,,,,,,,,,,,,-25.516562,12.56657,-45.185012,51.666667,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,weekly,,bear_2022,full_period,51,-0.353684,,,,,,,,,,,,,,,,,,-23.009424,6.263205,-42.427574,56.20915,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,14d,,bull_2020_2021,full_period,51,2.665414,,,,,,,,,,,,,,,,,,197.63045,9.788509,-42.732693,73.333333,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,monthly,,bull_2020_2021,full_period,24,4.262193,,,,,,,,,,,,,,,,,,132.487307,11.6586,-25.613596,73.333333,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,weekly,,bull_2020_2021,full_period,103,1.691766,,,,,,,,,,,,,,,,,,324.644849,7.327791,-43.426552,72.653722,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,14d,,etf_bull_2024_2025,full_period,49.6,1.263003,,,,,,,,,,,,,,,,,,67.856825,6.595221,-26.034398,64.116667,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,monthly,,etf_bull_2024_2025,full_period,24,2.822223,,,,,,,,,,,,,,,,,,80.484866,8.104622,-20.058538,70.833333,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,weekly,,etf_bull_2024_2025,full_period,102,0.674223,,,,,,,,,,,,,,,,,,80.105683,4.441896,-26.059041,65.686274,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,14d,,recovery_transition_2023,full_period,24.6,2.435868,,,,,,,,,,,,,,,,,,77.043571,4.755085,-10.383893,76.382609,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,monthly,,recovery_transition_2023,full_period,12,4.0278,,,,,,,,,,,,,,,,,,56.982676,6.730314,-10.991928,71.666667,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
regime_summary,BTC,weekly,,recovery_transition_2023,full_period,51,1.051165,,,,,,,,,,,,,,,,,,65.439842,3.846845,-13.73567,71.24183,Regime-conditioned proxy row; source regime output does not include full percentile/skew/kurtosis distribution fields.
