date,year,regime,cycle_id,mtm_valid,data_quality_state,approximate_CCW_value,daily_return_pct,rolling_drawdown_pct,EWMA_vol_pct,historical_VaR_loss_pct,underwater_duration_days,recent_tail_loss_days,drawdown_state,var_state,ewma_state,tail_state,duration_state,raw_state,final_state,hysteresis_hold,upgrade_reasons,notes
2020-01-03,2020,Bull market,1,true,partial_signal,7236.36375,,0,,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-04,2020,Bull market,1,true,valid_signal,7288.07,0.714534,0,0.714534,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-05,2020,Bull market,1,true,valid_signal,7405.26,1.60797,0,0.796906,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-06,2020,Bull market,1,true,valid_signal,7506.07,1.36133,0,0.841516,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-07,2020,Bull market,1,true,valid_signal,7752.8625,3.287906,0,1.14642,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-08,2020,Bull market,1,true,valid_signal,7962.417,2.702931,0,1.293744,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-09,2020,Bull market,1,true,valid_signal,7846.0725,-1.461171,-1.461171,1.304395,,1,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-10,2020,Bull market,2,true,valid_signal,7765.30325,-1.029423,-2.475552,1.289551,,2,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-11,2020,Bull market,2,true,valid_signal,7798.855,0.432073,-2.054175,1.254738,,3,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-12,2020,Bull market,2,true,valid_signal,7862.274,0.813183,-1.257696,1.232713,,4,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-13,2020,Bull market,2,true,valid_signal,7863.14875,0.011126,-1.24671,1.195163,,5,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-14,2020,Bull market,2,true,valid_signal,7997.76425,1.71198,0,1.232299,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-15,2020,Bull market,2,true,valid_signal,8037.378,0.49531,0,1.200903,,0,0,normal,normal,normal,normal,normal,normal,normal,false,,
2020-01-16,2020,Bull market,2,true,valid_signal,8004.5325,-0.408659,-0.408659,1.168614,,1,0,normal,normal,normal,normal,normal,normal,normal,false,,
