year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,64.39919200630366,230.51367950865438,0.6236250617791944,12,12,12,0,0,0,12,12,12,0,0,0,-7533.622359447747,11727.346686284165,4193.72432683642,monthly
2021,2021-01-01,2021-12-31T08:00:00Z,67.53856418369371,99.27358729622435,0.8706668889115136,12,12,12,0,0,0,12,12,12,0,0,0,-7539.9510896123375,21988.525428581783,14448.57433896945,monthly
2022,2022-01-07,2022-12-31T08:00:00Z,-38.75662100633617,-65.09939810105121,0.912314981920127,12,12,12,0,0,0,12,12,12,0,0,0,17220.971113297383,-34136.37586475481,-16915.404751457434,monthly
2023,2023-01-06,2023-12-31T08:00:00Z,64.00391407108957,157.13374829209047,0.44033773111653124,12,12,12,0,0,0,12,12,12,0,0,0,-10486.803296585973,20678.83297610397,10192.029679518,monthly
2024,2024-01-05,2024-12-31T08:00:00Z,57.28717073962146,124.53741424303612,0.37446871266060117,12,12,12,0,0,0,12,12,12,0,0,0,-23410.674144128687,46249.0097874456,22838.33564331691,monthly
2025,2025-01-03,2025-12-31T08:00:00Z,14.2985803245824,-6.961725759121551,0.648000792544232,12,12,12,0,0,1,12,12,12,0,0,1,19498.330044567138,-6794.119138959712,12704.210905607415,monthly
2026,2026-01-02,2026-05-17T08:00:00Z,-7.1262257688113895,-12.169617219471384,0.7253280912619622,4,4,4,0,0,0,4,4,4,0,0,0,3939.6474348234833,-10019.582279333252,-6079.934844509767,monthly
TOTAL,2020-01-03,2026-05-17T08:00:00Z,361.9075452223333,984.4919039642656,,76,76,76,0,0,1,76,76,76,0,0,1,-8312.102297086738,49693.63759536775,41381.53529828099,monthly
