year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,271.20272498681118,376.54609101516922,0.63718851024699374,51,51,38,13,13,0,51,51,38,13,13,0,-113.31335005697404,460.5499286156375,347.23657855866361
2021,2021-01-01,2021-12-31T08:00:00Z,377.01131829814221,403.27968623208005,0.65637562149256534,52,52,37,15,15,0,52,52,37,15,15,0,235.26862243999031,2479.1624522325196,2714.4310746725114
2022,2022-01-07,2022-12-31T08:00:00Z,-45.465143373180382,-62.9310883418718,0.65013614115109764,51,51,36,15,15,0,51,51,36,15,15,0,636.23022105113034,-2064.0072174897987,-1427.7769964386662
2023,2023-01-06,2023-12-31T08:00:00Z,48.506666128484511,86.969065555377469,0.32270772540230186,51,51,37,14,14,0,51,51,37,14,14,0,-402.41319656014525,1002.5346139817896,600.12141742164431
2024,2024-01-05,2024-12-31T08:00:00Z,29.423989179260857,47.20762664893028,0.44074884811402881,51,51,36,15,15,0,51,51,36,15,15,0,-456.837436166184,1103.8323392323305,646.99490306614734
2025,2025-01-03,2025-12-31T08:00:00Z,-2.9851719151016032,-13.818234822534803,0.51962522681162115,51,51,38,13,13,0,51,51,38,13,13,0,156.01643400013177,-256.82811129382975,-100.81167729369656
2026,2026-01-02,2026-06-15T08:00:00Z,-27.771356394929512,-44.9666655610468,0.59449717533613433,23,23,16,7,7,0,23,23,16,7,7,0,646.4216196771506,-1476.3445958109519,-829.92297613380163
TOTAL,2020-01-03,2026-06-15T08:00:00Z,1200.5358351698276,1060.5542035930457,,330,330,238,92,92,0,330,330,238,92,92,0,701.37291438509965,1248.8994094676964,1950.2723238528024
