year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2020,uniform,optimistic,0.05,0.0551,0.05,150.98,144.86,-6.12,10828.95,10390.22,438.73,17562.63,-6042.89,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-5604.16
2020,uniform,realistic,0.1,0.0551,0.1,150.98,138.75,-12.23,10828.95,9951.48,877.46,17123.9,-6481.62,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-5604.16
2020,uniform,conservative,0.2,0.0551,0.2,150.98,126.51,-24.47,10828.95,9074.02,1754.93,16246.44,-7359.08,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-5604.16
2021,uniform,optimistic,0.05,0.0498,0.05,110,98.22,-11.78,31328.2,27973.07,3355.13,56452.31,7218.51,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,10573.64
2021,uniform,realistic,0.1,0.0498,0.1,110,86.44,-23.56,31328.2,24617.93,6710.27,53097.18,3863.37,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,10573.64
2021,uniform,conservative,0.2,0.0498,0.2,110,62.88,-47.12,31328.2,17907.66,13420.54,46386.91,-2846.9,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,10573.64
2022,uniform,optimistic,0.05,0.0525,0.05,-33.72,-36.81,-3.09,-13832.34,-15100.68,1268.34,25919.14,14010.28,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,15278.62
2022,uniform,realistic,0.1,0.0525,0.1,-33.72,-39.91,-6.18,-13832.34,-16369.03,2536.69,24650.79,12741.93,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,15278.62
2022,uniform,conservative,0.2,0.0525,0.2,-33.72,-46.09,-12.37,-13832.34,-18905.72,5073.38,22114.1,10205.24,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,15278.62
2023,uniform,optimistic,0.05,0.0513,0.05,70.81,67.95,-2.86,11866.51,11386.58,479.93,28144.41,-9429,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8949.07
