year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2020,uniform,optimistic,0.05,0.1029,0.05,190.1,186.85,-3.25,13635.02,13401.81,233.2,20574.23,-3586.44,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-3353.23
2020,uniform,realistic,0.1,0.1029,0.1,190.1,183.6,-6.5,13635.02,13168.61,466.41,20341.03,-3819.64,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-3353.23
2020,uniform,conservative,0.2,0.1029,0.2,190.1,177.1,-13.01,13635.02,12702.2,932.81,19874.62,-4286.05,51,btc_2020-01-03_2020-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-3353.23
2021,uniform,optimistic,0.05,0.0992,0.05,89.81,83.13,-6.69,25797,23876.6,1920.4,52599.42,4386.87,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6307.27
2021,uniform,realistic,0.1,0.0992,0.1,89.81,76.44,-13.37,25797,21956.2,3840.8,50679.02,2466.47,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6307.27
2021,uniform,conservative,0.2,0.0992,0.2,89.81,63.07,-26.74,25797,18115.4,7681.6,46838.22,-1374.32,52,btc_2021-01-01_2021-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,6307.27
2022,uniform,optimistic,0.05,0.1029,0.05,-46.56,-47.79,-1.23,-19272.62,-19781.57,508.95,21613.62,8135.19,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8644.13
2022,uniform,realistic,0.1,0.1029,0.1,-46.56,-49.02,-2.46,-19272.62,-20290.52,1017.9,21104.67,7626.24,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8644.13
2022,uniform,conservative,0.2,0.1029,0.2,-46.56,-51.48,-4.92,-19272.62,-21308.42,2035.79,20086.77,6608.34,51,btc_2022-01-07_2022-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8644.13
2023,uniform,optimistic,0.05,0.1003,0.05,103.64,102.43,-1.21,17368.08,17165.18,202.9,33923,-5502.93,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-5300.03
2023,uniform,realistic,0.1,0.1003,0.1,103.64,101.22,-2.42,17368.08,16962.28,405.79,33720.11,-5705.82,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-5300.03
2023,uniform,conservative,0.2,0.1003,0.2,103.64,98.8,-4.84,17368.08,16556.49,811.59,33314.31,-6111.62,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-5300.03
