date,symbol,fundingRateTimestamp,fundingRate
2020-05-04,BTCUSDT,1588550400000,0.0001
2020-05-04,BTCUSDT,1588579200000,0.0001
2020-05-04,BTCUSDT,1588608000000,0.0001
2020-05-05,BTCUSDT,1588636800000,0.0001
2020-05-05,BTCUSDT,1588665600000,0.0001
2020-05-05,BTCUSDT,1588694400000,0.0001
2020-05-06,BTCUSDT,1588723200000,0.0001
2020-05-06,BTCUSDT,1588752000000,0.0001
2020-05-06,BTCUSDT,1588780800000,0.0001
2020-05-07,BTCUSDT,1588809600000,0.0001
2020-05-07,BTCUSDT,1588838400000,0.0001
2020-05-07,BTCUSDT,1588867200000,0.0001
2020-05-08,BTCUSDT,1588896000000,0.0001
2020-05-08,BTCUSDT,1588924800000,0.0001
2020-05-08,BTCUSDT,1588953600000,0.0001
2020-05-09,BTCUSDT,1588982400000,0.0001
2020-05-09,BTCUSDT,1589011200000,0.0001
2020-05-09,BTCUSDT,1589040000000,0.0001
2020-05-10,BTCUSDT,1589068800000,0.0001
2020-05-10,BTCUSDT,1589097600000,0.0001
2020-05-10,BTCUSDT,1589126400000,0.0001
2020-05-11,BTCUSDT,1589155200000,0.0001
2020-05-11,BTCUSDT,1589184000000,0.0001
2020-05-11,BTCUSDT,1589212800000,0.0001
2020-05-12,BTCUSDT,1589241600000,0.0001
2020-05-12,BTCUSDT,1589270400000,0.0001
2020-05-12,BTCUSDT,1589299200000,0.0001
2020-05-13,BTCUSDT,1589328000000,0.0001
2020-05-13,BTCUSDT,1589356800000,0.0001
2020-05-13,BTCUSDT,1589385600000,0.0001
2020-05-14,BTCUSDT,1589414400000,0.0001
2020-05-14,BTCUSDT,1589443200000,0.0001
2020-05-14,BTCUSDT,1589472000000,0.0001
2020-05-15,BTCUSDT,1589500800000,0.0001
2020-05-15,BTCUSDT,1589529600000,0.0001
2020-05-15,BTCUSDT,1589558400000,0.0001
2020-05-16,BTCUSDT,1589587200000,0.0001
2020-05-16,BTCUSDT,1589616000000,0.0001
2020-05-16,BTCUSDT,1589644800000,0.0001
2020-05-17,BTCUSDT,1589673600000,0.0001
