year,regime,policyId,economicScenarioId,validReturnDays,gross_hedged_return_pct,net_hedged_return_pct,gross_CAGRpct,net_CAGRpct,gross_maxDrawdownPct,net_maxDrawdownPct,net_maxUnderwaterDurationDays,net_volatilityPct,net_historicalVaRPct,net_ewmaMaxPct,total_fees,total_slippage,total_funding,total_basis_effect,total_collateral_effect,net_implementation_cost,max_margin_required,average_margin_required,collateral_utilization_pct,hedge_turnover,hedge_events,cost_per_hedge_event,cost_as_pct_of_equity,net_drawdown_reduction_pct_points,net_return_sacrificed_pct,net_return_effect,net_protection_efficiency
2020,Bull market,stress25_crisis50,BASE,254,49.961494,49.702326,51.726299,51.456517,-52.374114,-52.383904,196,2.879449,-2.789744,6.89128,0.000217,0.000079,-0.001117,0,0,0.001413,0.07046,0.008203,1.046847,0.394499,2,0.000707,0.1413,2.665824,3.661256,return sacrificed,0.728117
2021,Bull market,stress25_crisis50,BASE,247,-21.409029,-21.699716,-21.953807,-22.250798,-50.203055,-50.276564,194,3.734417,-6.514571,5.791527,0.00425,0.001545,0.001285,0,0,0.00451,0.204233,0.037112,3.110454,7.731486,25,0.00018,0.451,3.510233,0.007465,return sacrificed,470.233162
2022,Bear market,stress25_crisis50,BASE,240,-57.124516,-57.05589,-58.160188,-58.091285,-59.72169,-59.643625,234,2.594326,-4.181284,4.077647,0.000285,0.000104,0.001534,0,0,-0.001145,0.075282,0.034499,5.507829,0.518888,2,-0.000572,-0.1145,8.120731,-8.684468,return improved,
2023,Recovery,stress25_crisis50,BASE,247,109.602398,109.563535,114.129251,114.088402,-18.240579,-18.240579,73,2.366107,-2.762413,5.720244,0.000069,0.000025,0,0,0,0.000094,0,0,0,0.125845,1,0.000094,0.0094,0,0.038863,return sacrificed,0
2024,ETF/Bull,stress25_crisis50,BASE,240,94.321789,94.254723,98.08521,98.014871,-15.374203,-15.374203,41,2.141829,-3.681167,3.354978,0.000301,0.00011,0.000032,0,0,0.000379,0.091151,0.00038,0.034513,0.548569,2,0.00019,0.0379,0,1.069366,return sacrificed,0
2025,Mixed,stress25_crisis50,BASE,252,-11.656076,-11.866079,-11.971636,-12.186923,-27.750243,-27.791377,100,1.79273,-2.795671,2.701599,0.004056,0.001475,0.001155,0,0,0.004376,0.162472,0.019523,1.058421,7.37571,16,0.000274,0.4376,1.737627,1.771548,return sacrificed,0.980853
2020,Bull market,stress25_crisis50,CONSERVATIVE,254,49.961494,49.52166,51.726299,51.26846,-52.374114,-52.402777,196,2.879464,-2.789744,6.89243,0.000217,0.000197,-0.001248,-0.000627,0,0.002289,0.105546,0.01229,1.570326,0.394263,2,0.001145,0.2289,2.64695,3.841921,return sacrificed,0.688965
2021,Bull market,stress25_crisis50,CONSERVATIVE,247,-21.409029,-22.466429,-21.953807,-23.033985,-50.203055,-50.547188,194,3.737058,-6.523726,5.803477,0.004225,0.003841,-0.005472,-0.002733,0,0.016271,0.305092,0.055329,4.66628,7.685723,25,0.000651,1.6271,3.239609,0.774178,return sacrificed,4.184579
2022,Bear market,stress25_crisis50,CONSERVATIVE,240,-57.124516,-57.654154,-58.160188,-58.691861,-59.72169,-60.143142,234,2.5946,-4.181284,4.077599,0.000282,0.000257,-0.004878,-0.002434,0,0.007851,0.111673,0.0508,8.262468,0.513171,2,0.003926,0.7851,7.621215,-8.086203,return improved,
2023,Recovery,stress25_crisis50,CONSERVATIVE,247,109.602398,109.54799,114.129251,114.072063,-18.240579,-18.240579,73,2.366097,-2.762413,5.720189,0.000068,0.000061,0,0,0,0.000129,0,0,0,0.122728,1,0.000129,0.0129,0,0.054408,return sacrificed,0
2024,ETF/Bull,stress25_crisis50,CONSERVATIVE,240,94.321789,94.205551,98.08521,97.963301,-15.374203,-15.374203,41,2.141825,-3.681167,3.354978,0.000295,0.000267,-0.000053,-0.000027,0,0.000642,0.133331,0.000556,0.051778,0.534897,2,0.000321,0.0642,0,1.118538,return sacrificed,0
2025,Mixed,stress25_crisis50,CONSERVATIVE,252,-11.656076,-12.236984,-11.971636,-12.567125,-27.750243,-27.942345,100,1.792562,-2.795671,2.703252,0.003948,0.003587,-0.002874,-0.001434,0,0.011843,0.237107,0.028494,1.587811,7.17548,16,0.00074,1.1843,1.586659,2.142453,return sacrificed,0.740581
2020,Bull market,stress25_crisis50,STRESS,254,49.961494,48.94723,51.726299,50.670572,-52.374114,-52.431729,196,2.879496,-2.789744,6.894255,0.000217,0.000394,-0.003115,-0.001868,0.000307,0.005287,0.210517,0.024533,3.14102,0.393491,2,0.002644,0.5287,2.617998,4.416352,return sacrificed,0.592797
2021,Bull market,stress25_crisis50,STRESS,247,-21.409029,-23.508596,-21.953807,-24.098186,-50.203055,-50.885113,194,3.737478,-6.540351,5.80408,0.004186,0.007604,-0.013526,-0.008113,0.00135,0.032079,0.606287,0.109518,9.334322,7.606291,25,0.001283,3.2079,2.901684,1.816345,return sacrificed,1.59754
2022,Bear market,stress25_crisis50,STRESS,240,-57.124516,-58.413782,-58.160188,-59.454071,-59.72169,-60.791978,234,2.594735,-4.181284,4.07752,0.000278,0.000504,-0.011873,-0.00713,0.001183,0.018602,0.219471,0.099013,16.52682,0.504301,2,0.009301,1.8602,6.972378,-7.326575,return improved,
2023,Recovery,stress25_crisis50,STRESS,247,109.602398,109.522081,114.129251,114.044831,-18.240579,-18.240579,73,2.366081,-2.762413,5.7201,0.000065,0.000118,0,0,0,0.000183,0,0,0,0.11845,1,0.000183,0.0183,0,0.080317,return sacrificed,0
2024,ETF/Bull,stress25_crisis50,STRESS,240,94.321789,94.135389,98.08521,97.889716,-15.374203,-15.374203,41,2.141824,-3.681167,3.354977,0.000284,0.000516,-0.000129,-0.000077,0.000013,0.000993,0.257335,0.001072,0.103581,0.516125,2,0.000497,0.0993,0,1.1887,return sacrificed,0
2025,Mixed,stress25_crisis50,STRESS,252,-11.656076,-12.727109,-11.971636,-13.069464,-27.750243,-28.134574,100,1.792493,-2.795671,2.705322,0.003798,0.006903,-0.006906,-0.004145,0.000692,0.02106,0.456287,0.05483,3.176077,6.90235,16,0.001316,2.106,1.39443,2.632578,return sacrificed,0.529682
