year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,87.78446977758342,392.443729903537,0.7464458710257427,12,12,12,0,0,0,12,12,12,0,0,0,-178.99279742636102,262.4245620544928,83.43176462813179,monthly
2021,2021-01-01,2021-12-31T08:00:00Z,202.1983967266104,507.4518445968005,0.6080210411899865,12,12,12,0,0,0,12,12,12,0,0,0,-956.2952619316152,2040.1292179854286,1083.8339560538134,monthly
2022,2022-01-07,2022-12-31T08:00:00Z,-50.98050133139467,-68.11152166610681,1.2148433009038089,12,12,12,0,0,0,12,12,12,0,0,0,731.5026920530751,-2444.5947429855314,-1713.0920509324555,monthly
2023,2023-01-06,2023-12-31T08:00:00Z,63.592818614133904,96.60388488602368,0.31054807906761445,12,12,12,0,0,0,12,12,12,0,0,0,-322.2045783805608,1034.947118359484,712.7425399789233,monthly
2024,2024-01-05,2024-12-31T08:00:00Z,25.049387326504924,42.30175739391342,0.4174622197196527,12,12,12,0,0,0,12,12,12,0,0,0,-610.2674161131084,1149.086250346934,538.8188342338258,monthly
2025,2025-01-03,2025-12-31T08:00:00Z,-6.861922537269393,-10.953643182023553,0.7758202040143973,12,12,12,0,0,0,12,12,12,0,0,0,-284.27729834180076,78.79361072584554,-205.48368761595515,monthly
2026,2026-01-02,2026-06-16T08:00:00Z,-11.250055803401715,-32.1353065539112,0.7847177157733566,5,5,5,0,0,0,5,5,5,0,0,0,631.9955529703764,-941.1284535429312,-309.1329005725549,monthly
TOTAL,2020-01-03,2026-06-16T08:00:00Z,370.3940877670404,1512.741157556271,,77,77,77,0,0,0,77,77,77,0,0,0,-988.5391071699948,1179.6575629437225,191.11845577372867,monthly
