year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,190.1034822752076,229.1353906032805,0.6490971614098792,51,51,38,13,13,1,-3353.2338046779123,16988.25018601171,13635.016381333797
2021,2021-01-01,2021-12-31T08:00:00Z,89.81359920889889,61.66378291333321,0.6283142018229925,52,52,37,15,15,0,6307.272978419475,19489.723987550562,25796.996965970036
2022,2022-01-07,2022-12-31T08:00:00Z,-46.557642614644934,-60.5171669703654,0.525361083457451,51,51,36,15,15,1,8644.134068204869,-27916.758688058104,-19272.62461985324
2023,2023-01-06,2023-12-31T08:00:00Z,103.6415812149683,152.29994637430732,0.40363295629659324,51,51,37,14,14,0,-5300.029876810487,22668.105202255643,17368.075325445163
2024,2024-01-05,2024-12-31T08:00:00Z,112.7960889030883,116.83562346770056,0.43688477888296384,51,51,36,15,15,0,-2387.3484776685636,51079.010450682574,48691.66197301401
2025,2025-01-03,2025-12-31T08:00:00Z,1.6227533251317316,-8.132808524338186,0.42804526601102205,51,51,38,13,13,0,10451.254679231073,-8894.034342022374,1557.220337208703
2026,2026-01-02,2026-05-08T08:00:00Z,-6.70743142819179,-10.263744678934206,0.4804605354355052,18,18,12,6,6,1,2799.642967186443,-8754.396798530322,-5954.753831343876
TOTAL,2020-01-03,2026-05-08T08:00:00Z,1109.0213859397536,847.4838156005306,,325,325,234,91,91,3,17161.692533884896,64659.89999788968,81821.5925317746
