year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL
2020,2020-01-03,2020-12-31T08:00:00Z,217.12207281552637,376.54609101516917,0.6668541073775404,51,51,38,13,13,0,51,51,38,13,13,0,-107.6197638900833,385.613746796025,277.99398290594183
2021,2021-01-01,2021-12-31T08:00:00Z,338.50821862808306,403.27968623208005,0.7227209767809224,52,52,37,15,15,0,52,52,37,15,15,0,22.744097605834142,2414.469808395441,2437.213906001274
2022,2022-01-07,2022-12-31T08:00:00Z,-51.605631769255524,-62.9310883418718,0.7135171378783458,51,51,36,15,15,0,51,51,36,15,15,0,453.31054141367184,-2084.6600320586113,-1631.34949064494
2023,2023-01-06,2023-12-31T08:00:00Z,64.0369756239805,86.96906555537747,0.4015486951168026,51,51,37,14,14,0,51,51,37,14,14,0,-223.1260115720312,1020.1817599534696,797.0557483814383
2024,2024-01-05,2024-12-31T08:00:00Z,47.11119981749001,47.20762664893028,0.5327498809638962,51,51,36,15,15,0,51,51,36,15,15,0,-53.83866435343362,1105.1580072315971,1051.3193428781638
2025,2025-01-03,2025-12-31T08:00:00Z,-15.510117437297687,-13.818234822534803,0.5856617740947184,51,51,38,13,13,0,51,51,38,13,13,0,-120.29322726434731,-407.7523076031116,-528.045534867458
2026,2026-01-02,2026-06-15T08:00:00Z,-37.3362677340774,-44.9666655610468,0.606484065177021,23,23,16,7,7,0,23,23,16,7,7,0,297.5510408799461,-1420.9275514619455,-1123.3765105819996
TOTAL,2020-01-03,2026-06-15T08:00:00Z,759.8198936242783,1060.5542035930457,,330,330,238,92,92,0,330,330,238,92,92,0,268.7280128195566,1012.0834312528648,1280.81144407242
