year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalCycles,callCycles,observedOptionCycles,theoreticalFallbackCycles,syntheticOptionCycles,settlementFallbackCycles,totalPnLCall,totalPnLUnderlying,totalPnL,tenor
2020,2020-01-03,2020-12-31T08:00:00Z,114.73716180750296,402.64488525865414,0.8499497403791363,25,25,19,6,6,0,25,25,19,6,6,0,-146.2154820720391,292.3826519820523,146.1671699100132,14d
2021,2021-01-01,2021-12-31T08:00:00Z,225.94454928278776,403.27968623208005,0.837701994081574,26,26,19,7,7,0,26,26,19,7,7,0,-642.0132917715657,2219.091785314271,1577.0784935427055,14d
2022,2022-01-07,2022-12-31T08:00:00Z,-35.23113051539891,-61.822129201549416,0.8755610464217928,25,25,18,7,7,0,25,25,18,7,7,0,1109.4090735433624,-2206.2130024756907,-1096.8039289323287,14d
2023,2023-01-06,2023-12-31T08:00:00Z,64.28651623030794,82.27280012822568,0.4556290149713684,25,25,18,7,7,0,25,25,18,7,7,0,-186.2386308671847,981.587359618032,795.3487287508469,14d
2024,2024-01-05,2024-12-31T08:00:00Z,26.445344083971367,50.069837046890584,0.6929530440889936,25,25,18,7,7,0,25,25,18,7,7,0,-560.1321374698123,1143.7179745408203,583.5858370710079,14d
2025,2025-01-03,2025-12-31T08:00:00Z,-25.248784915258206,-13.991691567669996,0.777377390738196,25,25,19,6,6,0,25,25,19,6,6,0,-604.705858858925,-245.36780147244056,-850.0736603313659,14d
2026,2026-01-02,2026-06-16T08:00:00Z,-35.1591544522938,-44.35470496533882,0.9474870590439948,11,11,9,2,2,0,11,11,9,2,2,0,361.4443685625555,-1406.6175292786104,-1045.173160716055,14d
TOTAL,2020-01-03,2026-06-16T08:00:00Z,356.44550772753803,1164.3476480325794,,162,162,120,42,42,0,162,162,120,42,42,0,-668.4519589336088,778.5814382284336,110.1294792948238,14d
