year,startDate,endDate,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,totalWeeks,callWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,settlementFallbackWeeks,totalPnLCall,totalPnLUnderlying,totalPnL,Btc Ini,Btc Fim
2020,03/01/2020,2020-12-31T08:00:00Z,150.9804204,229.1353906,0.582019696,51,51,38,13,13,1,-5604.156601,16433.10345,10828.94685,7194,29200
2021,01/01/2021,2021-12-31T08:00:00Z,110.0036215,61.66378291,0.554724483,52,52,37,15,15,0,10573.64257,20754.55794,31328.20051,,47184
2022,07/01/2022,2022-12-31T08:00:00Z,-33.72111012,-60.51716697,0.487840173,51,51,36,15,15,0,15278.62381,-29110.96181,-13832.338,,16560
2023,06/01/2023,2023-12-31T08:00:00Z,70.81175302,152.2999464,0.311895628,51,51,37,14,14,0,-8949.069126,20815.57913,11866.51,,42557
2024,05/01/2024,2024-12-31T08:00:00Z,91.0680458,116.8356235,0.350120768,51,51,36,15,15,0,-9340.991353,48213.87961,38872.88825,,92730
2025,03/01/2025,2025-12-31T08:00:00Z,1.160582247,-8.132808524,0.373764754,51,51,38,13,13,0,8851.92068,-7746.700284,1105.220396,,88529
2026,02/01/2026,2026-05-08T08:00:00Z,0.918299125,-10.26374468,0.472927566,18,18,12,6,6,0,8858.131397,-8045.580215,812.5511817,,79684
TOTAL,03/01/2020,2026-05-08T08:00:00Z,1063.935479,847.4838156,,325,325,234,91,91,1,19668.10137,61313.87782,80981.97919,,
